iter	Passed	Remaining
0	46	46314
1	46	23320
2	47	15631
3	47	11768
4	47	9459
5	47	7912
6	47	6808
7	48	5977
8	48	5331
9	48	4803
10	48	4371
11	48	4021
12	49	3724
13	49	3470
14	49	3252
15	49	3059
16	49	2888
17	50	2737
18	50	2601
19	50	2479
20	50	2369
21	50	2262
22	51	2172
23	51	2089
24	51	2011
25	51	1942
26	52	1875
27	52	1814
28	52	1758
29	52	1708
30	53	1658
31	53	1613
32	53	1571
33	53	1530
34	54	1492
35	54	1455
36	54	1427
37	55	1394
38	55	1363
39	55	1334
40	55	1305
41	56	1277
42	56	1251
43	56	1226
44	56	1202
45	56	1180
46	57	1158
47	57	1137
48	57	1117
49	57	1098
50	58	1080
51	58	1062
52	58	1044
53	58	1027
54	58	1011
55	59	995
56	59	981
57	59	966
58	59	952
59	59	939
60	60	926
61	60	913
62	60	901
63	60	888
64	60	877
65	61	866
66	61	855
67	61	845
68	61	836
69	62	826
70	62	817
71	62	808
72	63	800
73	63	791
74	63	783
75	63	775
76	64	767
77	64	759
78	64	751
79	64	743
80	64	735
81	65	728
82	65	720
83	65	714
84	65	707
85	65	701
86	66	694
87	66	688
88	66	681
89	66	675
90	66	669
91	67	663
92	67	657
93	67	651
94	67	646
95	68	640
96	68	635
97	68	630
98	68	625
99	68	620
100	69	615
101	69	610
102	69	606
103	69	601
104	70	597
105	70	592
106	70	588
107	70	583
108	70	578
109	71	574
110	71	570
111	71	567
112	71	562
113	71	559
114	72	555
115	72	552
116	72	548
117	72	545
118	73	542
119	73	538
120	73	535
121	73	531
122	74	528
123	74	525
124	74	522
125	74	519
126	75	516
127	75	512
128	75	509
129	75	506
130	75	503
131	76	500
132	76	498
133	76	495
134	76	492
135	77	489
136	77	486
137	77	484
138	77	481
139	77	478
140	78	476
141	78	473
142	78	471
143	78	468
144	78	465
145	79	462
146	79	460
147	79	457
148	79	455
149	80	453
150	80	451
151	80	448
152	80	446
153	80	444
154	81	442
155	81	440
156	81	438
157	81	436
158	82	434
159	82	432
160	82	430
161	82	428
162	83	426
163	83	424
164	83	422
165	83	420
166	83	418
167	84	416
168	84	414
169	84	412
170	84	410
171	84	408
172	85	406
173	85	404
174	85	403
175	85	400
176	85	399
177	86	397
178	86	395
179	86	394
180	86	392
181	86	390
182	87	388
183	87	387
184	87	385
185	87	384
186	88	382
187	88	381
188	88	379
189	88	377
190	88	376
191	89	374
192	89	373
193	89	371
194	89	370
195	89	368
196	90	367
197	90	365
198	90	364
199	90	363
200	91	362
201	91	361
202	91	359
203	91	358
204	92	357
205	92	355
206	92	354
207	92	353
208	92	351
209	93	350
210	93	349
211	93	347
212	93	346
213	93	345
214	94	343
215	94	342
216	94	340
217	94	339
218	94	338
219	95	337
220	95	335
221	95	334
222	95	333
223	95	332
224	96	330
225	96	329
226	96	328
227	96	327
228	96	326
229	97	325
230	97	323
231	97	322
232	97	321
233	97	320
234	98	319
235	98	318
236	98	316
237	98	315
238	98	314
239	99	313
240	99	312
241	99	311
242	99	310
243	99	309
244	100	308
245	100	307
246	100	306
247	100	305
248	101	304
249	101	303
250	101	303
251	101	302
252	102	301
253	102	300
254	102	299
255	102	298
256	102	297
257	103	296
258	103	295
259	103	294
260	103	293
261	103	292
262	104	291
263	104	290
264	104	290
265	104	288
266	104	288
267	105	287
268	105	286
269	105	285
270	105	284
271	105	283
272	106	282
273	106	281
274	106	280
275	106	280
276	107	279
277	107	278
278	107	277
279	107	276
280	107	275
281	108	275
282	108	274
283	108	272
284	108	272
285	108	271
286	108	270
287	109	269
288	109	269
289	109	268
290	109	267
291	110	266
292	110	265
293	110	265
294	110	264
295	110	263
296	111	262
297	111	262
298	111	261
299	111	260
300	111	259
301	112	259
302	112	258
303	112	257
304	112	257
305	112	256
306	113	255
307	113	254
308	113	253
309	113	253
310	113	252
311	114	251
312	114	251
313	114	250
314	114	249
315	115	249
316	115	248
317	115	247
318	115	247
319	115	246
320	116	245
321	116	245
322	116	244
323	116	243
324	117	243
325	117	242
326	117	241
327	117	241
328	117	240
329	118	239
330	118	239
331	118	238
332	118	237
333	118	236
334	119	236
335	119	235
336	119	235
337	119	234
338	119	233
339	120	233
340	120	232
341	120	232
342	120	231
343	121	230
344	121	230
345	121	229
346	121	228
347	121	228
348	122	227
349	122	227
350	122	226
351	122	226
352	122	225
353	123	224
354	123	224
355	123	223
356	123	223
357	124	222
358	124	221
359	124	221
360	124	220
361	124	220
362	125	219
363	125	219
364	125	218
365	125	217
366	126	217
367	126	216
368	126	216
369	126	215
370	126	215
371	127	214
372	127	214
373	127	213
374	127	213
375	128	212
376	128	211
377	128	211
378	128	210
379	128	210
380	129	209
381	129	209
382	129	208
383	129	208
384	130	207
385	130	207
386	130	206
387	130	206
388	130	205
389	131	205
390	131	204
391	131	204
392	131	203
393	131	202
394	132	202
395	132	201
396	132	201
397	132	200
398	133	200
399	133	199
400	133	199
401	133	198
402	133	198
403	134	197
404	134	197
405	134	196
406	134	196
407	135	196
408	135	195
409	135	195
410	135	194
411	135	194
412	136	193
413	136	193
414	136	192
415	136	192
416	137	191
417	137	191
418	137	190
419	137	190
420	137	189
421	138	189
422	138	188
423	138	188
424	138	187
425	138	187
426	139	186
427	139	186
428	139	185
429	139	185
430	140	184
431	140	184
432	140	183
433	140	183
434	140	183
435	141	182
436	141	182
437	141	181
438	141	181
439	142	180
440	142	180
441	142	179
442	142	179
443	142	178
444	143	178
445	143	178
446	143	177
447	143	177
448	144	176
449	144	176
450	144	175
451	144	175
452	144	174
453	145	174
454	145	174
455	145	173
456	145	173
457	145	172
458	146	172
459	146	171
460	146	171
461	146	171
462	147	170
463	147	170
464	147	169
465	147	169
466	147	168
467	148	168
468	148	168
469	148	167
470	148	167
471	149	166
472	149	166
473	149	165
474	149	165
475	149	165
476	150	164
477	150	164
478	150	163
479	150	163
480	151	162
481	151	162
482	151	162
483	151	161
484	151	161
485	152	160
486	152	160
487	152	160
488	152	159
489	153	159
490	153	158
491	153	158
492	153	158
493	153	157
494	154	157
495	154	156
496	154	156
497	154	155
498	154	155
499	155	155
500	155	154
501	155	154
502	155	153
503	156	153
504	156	153
505	156	152
506	156	152
507	157	152
508	157	151
509	157	151
510	158	151
511	158	150
512	158	150
513	158	150
514	159	149
515	159	149
516	159	148
517	159	148
518	159	148
519	160	147
520	160	147
521	160	147
522	160	146
523	161	146
524	161	145
525	161	145
526	161	145
527	161	144
528	162	144
529	162	144
530	162	143
531	162	143
532	163	142
533	163	142
534	163	142
535	163	141
536	163	141
537	164	140
538	164	140
539	164	140
540	164	139
541	165	139
542	165	139
543	165	138
544	165	138
545	165	137
546	166	137
547	166	137
548	166	136
549	166	136
550	167	136
551	167	135
552	167	135
553	167	135
554	167	134
555	168	134
556	168	133
557	168	133
558	168	133
559	169	132
560	169	132
561	169	132
562	169	131
563	169	131
564	170	131
565	170	130
566	170	130
567	170	129
568	171	129
569	171	129
570	171	128
571	171	128
572	171	128
573	172	127
574	172	127
575	172	127
576	172	126
577	173	126
578	173	125
579	173	125
580	173	125
581	173	124
582	174	124
583	174	124
584	174	123
585	174	123
586	174	123
587	175	122
588	175	122
589	175	122
590	175	121
591	176	121
592	176	121
593	176	120
594	176	120
595	177	119
596	177	119
597	177	119
598	177	118
599	177	118
600	178	118
601	178	117
602	178	117
603	178	117
604	178	116
605	179	116
606	179	116
607	179	115
608	179	115
609	180	115
610	180	114
611	180	114
612	180	114
613	180	113
614	181	113
615	181	113
616	181	112
617	181	112
618	182	112
619	182	111
620	182	111
621	182	111
622	182	110
623	183	110
624	183	110
625	183	109
626	183	109
627	184	109
628	184	108
629	184	108
630	184	108
631	184	107
632	185	107
633	185	107
634	185	106
635	185	106
636	186	106
637	186	105
638	186	105
639	186	105
640	186	104
641	187	104
642	187	104
643	187	103
644	187	103
645	188	103
646	188	102
647	188	102
648	188	102
649	188	101
650	189	101
651	189	101
652	189	100
653	189	100
654	190	100
655	190	99
656	190	99
657	190	99
658	190	98
659	191	98
660	191	98
661	191	97
662	191	97
663	191	97
664	192	96
665	192	96
666	192	96
667	192	95
668	193	95
669	193	95
670	193	94
671	193	94
672	193	94
673	194	93
674	194	93
675	194	93
676	194	92
677	195	92
678	195	92
679	195	92
680	195	91
681	195	91
682	196	91
683	196	90
684	196	90
685	196	90
686	197	89
687	197	89
688	197	89
689	197	88
690	197	88
691	198	88
692	198	87
693	198	87
694	198	87
695	199	86
696	199	86
697	199	86
698	199	85
699	199	85
700	200	85
701	200	85
702	200	84
703	200	84
704	201	84
705	201	83
706	201	83
707	201	83
708	201	82
709	202	82
710	202	82
711	202	81
712	202	81
713	203	81
714	203	81
715	203	80
716	203	80
717	203	80
718	204	79
719	204	79
720	204	79
721	204	78
722	205	78
723	205	78
724	205	77
725	205	77
726	205	77
727	206	77
728	206	76
729	206	76
730	206	76
731	206	75
732	207	75
733	207	75
734	207	74
735	207	74
736	208	74
737	208	73
738	208	73
739	208	73
740	208	73
741	209	72
742	209	72
743	209	72
744	209	71
745	210	71
746	210	71
747	210	70
748	210	70
749	210	70
750	211	70
751	211	69
752	211	69
753	211	69
754	212	68
755	212	68
756	212	68
757	212	67
758	212	67
759	213	67
760	213	66
761	213	66
762	213	66
763	213	66
764	214	65
765	214	65
766	214	65
767	214	64
768	215	64
769	215	64
770	215	64
771	215	63
772	215	63
773	216	63
774	216	62
775	216	62
776	216	62
777	217	61
778	217	61
779	217	61
780	217	61
781	217	60
782	218	60
783	218	60
784	218	59
785	218	59
786	219	59
787	219	58
788	219	58
789	219	58
790	219	58
791	220	57
792	220	57
793	220	57
794	220	56
795	220	56
796	221	56
797	221	56
798	221	55
799	221	55
800	222	55
801	222	54
802	222	54
803	222	54
804	222	54
805	223	53
806	223	53
807	223	53
808	223	52
809	224	52
810	224	52
811	224	51
812	224	51
813	224	51
814	225	51
815	225	50
816	225	50
817	225	50
818	226	49
819	226	49
820	226	49
821	226	49
822	226	48
823	227	48
824	227	48
825	227	47
826	227	47
827	228	47
828	228	47
829	228	46
830	228	46
831	228	46
832	229	45
833	229	45
834	229	45
835	229	45
836	229	44
837	230	44
838	230	44
839	230	43
840	230	43
841	231	43
842	231	43
843	231	42
844	231	42
845	231	42
846	232	41
847	232	41
848	232	41
849	232	41
850	233	40
851	233	40
852	233	40
853	233	39
854	234	39
855	234	39
856	234	39
857	234	38
858	235	38
859	235	38
860	235	38
861	235	37
862	235	37
863	236	37
864	236	36
865	236	36
866	236	36
867	237	36
868	237	35
869	237	35
870	237	35
871	237	34
872	238	34
873	238	34
874	238	34
875	238	33
876	239	33
877	239	33
878	239	32
879	239	32
880	239	32
881	240	32
882	240	31
883	240	31
884	240	31
885	241	31
886	241	30
887	241	30
888	241	30
889	241	29
890	242	29
891	242	29
892	242	29
893	242	28
894	242	28
895	243	28
896	243	27
897	243	27
898	243	27
899	244	27
900	244	26
901	244	26
902	244	26
903	244	26
904	245	25
905	245	25
906	245	25
907	245	24
908	246	24
909	246	24
910	246	24
911	246	23
912	246	23
913	247	23
914	247	22
915	247	22
916	247	22
917	248	22
918	248	21
919	248	21
920	248	21
921	248	21
922	249	20
923	249	20
924	249	20
925	249	19
926	249	19
927	250	19
928	250	19
929	250	18
930	250	18
931	251	18
932	251	18
933	251	17
934	251	17
935	251	17
936	252	16
937	252	16
938	252	16
939	252	16
940	253	15
941	253	15
942	253	15
943	253	15
944	253	14
945	254	14
946	254	14
947	254	13
948	254	13
949	254	13
950	255	13
951	255	12
952	255	12
953	255	12
954	256	12
955	256	11
956	256	11
957	256	11
958	256	10
959	257	10
960	257	10
961	257	10
962	258	9
963	258	9
964	258	9
965	258	9
966	259	8
967	259	8
968	259	8
969	259	8
970	260	7
971	260	7
972	260	7
973	260	6
974	261	6
975	261	6
976	261	6
977	261	5
978	261	5
979	262	5
980	262	5
981	262	4
982	262	4
983	262	4
984	263	4
985	263	3
986	263	3
987	263	3
988	264	2
989	264	2
990	264	2
991	264	2
992	264	1
993	265	1
994	265	1
995	265	1
996	265	0
997	266	0
998	266	0
999	266	0
